id,code,name,active
ReferenceCode_1,01,Anula Documento de Referencia,true
ReferenceCode_2,02,Corrige monto,true
ReferenceCode_3,03,Corrige monto,false
ReferenceCode_4,04,Referencia a otro documento,true
ReferenceCode_5,05,Sustituye comprobante provisional por contingencia,true
ReferenceCode_6,06,Devolución de mercancía,true
ReferenceCode_7,07,Sustituye comprobante electrónico,true
ReferenceCode_8,08,Factura Endosada,true
ReferenceCode_9,09,Nota de crédito financiera,true
ReferenceCode_10,10,Nota de débito financiera,true
ReferenceCode_11,11,Proveedor No Domiciliado,true
ReferenceCode_12,12,Crédito por exoneración posterior a la facturación,true
ReferenceCode_99,99,Otros,true
